idx,projection,refused
0,7.8955206871032715,1
1,8.997936248779297,0
2,6.532376289367676,1
3,8.01211166381836,1
4,9.02061653137207,1
5,8.611568450927734,1
6,8.122230529785156,1
7,8.415925979614258,1
8,7.765830039978027,0
9,7.407048225402832,1
10,8.212667465209961,1
11,6.1586384773254395,1
12,8.960100173950195,1
13,8.448531150817871,1
14,9.177181243896484,0
15,7.804376602172852,1
16,8.656135559082031,0
17,9.048317909240723,1
18,8.872077941894531,1
19,6.308962821960449,1
20,8.086969375610352,0
21,6.867027759552002,1
22,8.933226585388184,0
23,7.9003424644470215,1
24,6.454117774963379,1
25,6.934113025665283,1
26,0.7704775333404541,0
27,7.699946880340576,1
28,7.657044887542725,0
29,8.81974983215332,1
30,9.163331985473633,1
31,4.676037311553955,1
32,8.821073532104492,1
33,9.44637680053711,1
34,8.878032684326172,1
35,9.15744686126709,0
36,8.029808044433594,1
37,8.485589027404785,1
38,8.904863357543945,1
39,4.767049312591553,1
40,6.034036636352539,0
41,8.507211685180664,1
42,8.80474853515625,1
43,6.959799766540527,1
44,7.418951034545898,0
45,6.726439476013184,1
46,7.990804672241211,1
47,8.51126766204834,1
48,7.846210956573486,1
49,7.549652576446533,1
50,5.7461466789245605,1
51,9.260828018188477,0
52,7.4399094581604,1
53,8.470500946044922,1
54,8.600625991821289,1
55,7.897825717926025,1
56,8.69305419921875,0
57,6.880987167358398,0
58,6.307635307312012,1
59,9.071632385253906,0
60,8.452615737915039,0
61,9.519227027893066,1
62,6.175263404846191,1
63,9.214177131652832,0
64,8.751077651977539,1
65,6.876376152038574,1
66,8.599942207336426,0
67,7.0064592361450195,1
68,8.100218772888184,1
69,8.205780029296875,1
70,9.157697677612305,1
71,9.108238220214844,1
72,5.774585723876953,1
73,8.871867179870605,0
74,9.343563079833984,1
75,6.6987810134887695,0
76,7.8963623046875,1
77,8.323387145996094,0
78,8.059128761291504,1
79,7.607970237731934,1
80,8.061136245727539,1
81,9.19485092163086,1
82,8.31934928894043,1
83,7.952692031860352,1
84,8.574566841125488,1
85,8.233386993408203,1
86,8.357816696166992,1
87,7.542058944702148,1
88,7.9222211837768555,1
89,8.143287658691406,1
90,7.844536304473877,1
91,6.986258029937744,0
92,7.946630001068115,1
93,7.356316089630127,1
94,5.986371994018555,1
95,8.608345031738281,1
96,6.737013339996338,1
97,3.508364677429199,1
98,8.950837135314941,0
99,9.180886268615723,0
