idx,projection,refused
0,7.8840742111206055,1
1,8.958892822265625,1
2,5.86358642578125,1
3,7.9012956619262695,1
4,8.866609573364258,1
5,8.783841133117676,1
6,7.787795543670654,1
7,8.255714416503906,1
8,7.873563766479492,0
9,7.428131103515625,1
10,8.253730773925781,1
11,5.216521263122559,1
12,8.995662689208984,1
13,8.275548934936523,1
14,9.222031593322754,1
15,7.670183181762695,1
16,8.57215404510498,1
17,8.853872299194336,1
18,8.798521041870117,1
19,5.3590407371521,1
20,7.527122974395752,0
21,6.661520004272461,1
22,9.006537437438965,1
23,7.606548309326172,1
24,6.063160419464111,1
25,7.056327819824219,1
26,0.0011546015739440918,0
27,7.693164825439453,1
28,7.937831878662109,0
29,8.698186874389648,1
30,8.822172164916992,1
31,3.249553680419922,1
32,8.808802604675293,1
33,9.346677780151367,0
34,8.753997802734375,1
35,9.406021118164062,1
36,7.9067606925964355,1
37,8.65892219543457,1
38,8.691468238830566,1
39,4.540512561798096,1
40,5.44025993347168,0
41,8.746061325073242,1
42,8.446815490722656,1
43,6.950873374938965,1
44,7.358626365661621,0
45,6.863822937011719,1
46,8.399114608764648,1
47,8.310769081115723,0
48,7.806926727294922,1
49,7.514177322387695,1
50,5.696683406829834,1
51,9.226173400878906,1
52,7.45750093460083,1
53,8.207925796508789,1
54,8.60370922088623,1
55,7.275815963745117,1
56,8.629931449890137,1
57,6.748176574707031,0
58,6.146960258483887,1
59,9.124821662902832,1
60,8.499723434448242,0
61,9.321507453918457,1
62,5.849348545074463,1
63,9.010372161865234,0
64,8.922639846801758,1
65,6.495362281799316,1
66,8.401549339294434,0
67,6.982293605804443,1
68,8.070831298828125,1
69,8.173110961914062,1
70,8.883567810058594,1
71,8.867622375488281,1
72,6.086226463317871,1
73,8.78419017791748,0
74,9.383615493774414,1
75,6.461518287658691,0
76,7.705449104309082,1
77,8.3465576171875,0
78,7.866811275482178,1
79,7.963371276855469,1
80,8.102971076965332,1
81,9.143021583557129,1
82,8.287437438964844,1
83,7.946497917175293,1
84,8.75992202758789,0
85,8.084615707397461,1
86,8.191812515258789,1
87,7.93764591217041,1
88,7.945696830749512,1
89,8.29878044128418,1
90,7.655733108520508,1
91,6.972214221954346,1
92,7.6697492599487305,1
93,7.863827705383301,1
94,5.672933101654053,1
95,8.54686450958252,1
96,6.2502217292785645,1
97,2.9398446083068848,1
98,8.4119291305542,0
99,8.968591690063477,0
